customerid,orders,total_spent,last_purchase
15093.0,6,4597.02,2011-11-21 13:09:00
14004.0,7,4582.64,2011-10-27 14:40:00
16931.0,21,4554.87,2011-12-04 13:15:00
17068.0,21,4552.14,2011-11-27 13:14:00
17613.0,14,4544.55,2011-11-17 10:51:00
12484.0,6,4527.32,2011-11-07 11:37:00
13267.0,19,4521.49,2011-12-07 11:12:00
15299.0,7,4507.01,2011-10-03 14:19:00
12524.0,8,4485.72,2011-11-30 15:31:00
17975.0,13,4483.26,2011-11-24 13:27:00
14426.0,10,4481.67,2011-11-16 12:25:00
12627.0,7,4478.53,2011-11-29 12:07:00
17364.0,11,4462.68,2011-12-09 09:00:00
16984.0,2,4459.52,2011-09-12 13:43:00
13069.0,24,4431.44,2011-12-09 08:39:00
14085.0,18,4421.29,2011-12-07 13:46:00
15955.0,14,4416.26,2011-11-15 14:15:00
16626.0,17,4413.1,2011-12-09 11:56:00
15874.0,7,4405.88,2011-10-07 12:31:00
14534.0,18,4397.3,2011-12-07 12:19:00
12712.0,13,4396.13,2011-11-11 08:19:00
13505.0,4,4393.63,2011-09-28 11:56:00
12752.0,1,4366.78,2011-09-19 13:32:00
16945.0,19,4345.5,2011-11-18 11:39:00
14016.0,4,4341.21,2011-07-01 11:29:00
14800.0,12,4331.79,2011-10-23 12:46:00
17567.0,8,4331.48,2011-12-02 15:48:00
18251.0,1,4314.72,2011-09-13 15:03:00
12347.0,7,4310.0,2011-12-07 15:52:00
17937.0,7,4301.22,2011-12-01 11:45:00
15034.0,8,4274.16,2011-11-24 12:11:00
14422.0,6,4263.64,2011-12-09 11:26:00
12500.0,11,4257.82,2011-11-16 16:20:00
17419.0,12,4226.57,2011-11-28 13:47:00
14525.0,9,4215.9,2011-11-20 11:37:00
15804.0,13,4206.39,2011-12-09 12:31:00
15971.0,12,4199.85,2011-11-22 12:50:00
12747.0,11,4196.01,2011-12-07 14:34:00
14146.0,5,4191.0,2011-12-01 10:18:00
14277.0,3,4188.0,2011-11-24 15:01:00
12949.0,8,4167.22,2011-11-09 11:25:00
13384.0,7,4151.93,2011-11-09 11:04:00
15570.0,12,4148.82,2011-12-02 14:47:00
13988.0,6,4147.96,2011-11-20 10:15:00
12569.0,32,4124.69,2011-12-07 16:24:00
17920.0,17,4119.5,2011-12-05 14:29:00
16592.0,16,4113.68,2011-12-05 13:49:00
13555.0,4,4098.88,2011-09-27 12:36:00
16401.0,12,4098.32,2011-12-08 18:15:00
18041.0,21,4097.37,2011-11-28 11:39:00
16670.0,11,4095.9,2011-11-23 09:34:00
12749.0,5,4090.88,2011-12-06 09:56:00
14092.0,14,4076.91,2011-12-02 12:13:00
12449.0,4,4067.29,2011-11-17 13:46:00
17377.0,20,4058.32,2011-11-16 11:17:00
18087.0,2,4055.7199999999993,2011-09-02 15:12:00
14401.0,13,4051.48,2011-12-05 13:30:00
12656.0,5,4051.17,2011-11-22 13:42:00
16549.0,10,4034.9,2011-11-29 15:06:00
13815.0,4,4027.36,2011-11-17 14:19:00
15514.0,11,4023.7200000000003,2011-11-27 14:40:00
17940.0,10,4020.04,2011-10-21 13:27:00
12957.0,8,4017.54,2011-11-30 09:53:00
12867.0,7,4009.34,2011-11-13 15:30:00
12378.0,1,4008.62,2011-08-02 10:34:00
16186.0,12,4006.94,2011-11-17 12:43:00
12841.0,25,3991.58,2011-12-05 11:13:00
17001.0,11,3989.57,2011-12-09 09:38:00
15416.0,4,3984.32,2011-10-06 09:38:00
12779.0,8,3981.36,2011-11-02 11:43:00
12727.0,7,3980.7,2011-11-29 11:46:00
14547.0,8,3974.75,2011-12-06 11:06:00
14299.0,9,3965.62,2011-12-01 16:05:00
13523.0,5,3964.88,2011-11-06 15:11:00
15529.0,11,3962.6,2011-11-17 11:29:00
17611.0,15,3961.12,2011-12-02 13:29:00
13183.0,9,3957.78,2011-12-02 10:30:00
17769.0,10,3957.43,2011-11-27 11:18:00
17651.0,10,3945.0,2011-11-28 10:29:00
12473.0,5,3928.0499999999997,2011-11-10 13:46:00
17593.0,5,3923.86,2011-12-06 10:30:00
14739.0,7,3902.28,2011-12-05 16:54:00
13999.0,12,3901.81,2011-11-29 13:40:00
14291.0,11,3883.25,2011-12-08 10:26:00
15195.0,1,3861.0,2011-12-07 12:20:00
18073.0,12,3859.82,2011-08-17 14:02:00
12662.0,11,3849.78,2011-12-09 11:59:00
16717.0,6,3843.08,2011-11-16 12:16:00
13266.0,12,3834.2599999999998,2011-11-28 14:39:00
17091.0,9,3827.76,2011-12-07 10:43:00
16327.0,6,3820.27,2011-11-25 13:23:00
12755.0,2,3811.95,2011-03-04 12:42:00
12597.0,4,3811.22,2011-11-20 13:33:00
15867.0,15,3810.14,2011-12-04 13:32:00
13435.0,7,3809.8900000000003,2011-12-04 14:45:00
12668.0,4,3807.15,2011-11-28 10:56:00
16145.0,11,3799.4900000000002,2011-12-01 10:33:00
16655.0,6,3789.52,2011-11-22 11:25:00
16168.0,27,3787.6,2011-11-29 12:45:00
16019.0,9,3786.2400000000002,2011-10-24 11:51:00
12562.0,7,3781.7400000000002,2011-12-01 17:20:00
17173.0,8,3766.6,2011-12-04 14:40:00
13124.0,3,3756.33,2011-09-11 12:45:00
12429.0,4,3750.4,2011-11-30 17:22:00
14145.0,4,3742.2,2011-10-24 12:10:00
13552.0,12,3740.07,2011-10-04 15:19:00
16570.0,10,3738.4,2011-11-24 17:02:00
12502.0,5,3723.87,2011-09-05 11:52:00
12647.0,12,3722.82,2011-11-17 12:56:00
13680.0,4,3719.12,2011-12-08 13:47:00
17238.0,17,3719.1,2011-12-07 11:35:00
16240.0,2,3718.8,2011-11-15 14:30:00
14364.0,8,3717.35,2011-08-23 11:01:00
15845.0,8,3711.77,2011-11-22 09:42:00
15622.0,9,3709.56,2011-10-27 16:44:00
17819.0,7,3704.87,2011-09-29 10:52:00
15379.0,7,3703.29,2011-06-23 13:13:00
14282.0,15,3701.44,2011-12-06 17:04:00
12553.0,10,3692.28,2011-12-01 16:38:00
16253.0,2,3683.86,2011-10-04 09:09:00
13148.0,12,3683.26,2011-11-10 15:23:00
15581.0,13,3675.77,2011-08-11 09:38:00
15296.0,6,3672.86,2011-10-20 11:47:00
16904.0,16,3653.75,2011-12-05 13:10:00
15808.0,4,3651.27,2011-02-06 14:33:00
12417.0,9,3649.1,2011-12-06 14:52:00
13426.0,10,3641.32,2011-12-09 08:59:00
12619.0,9,3641.24,2011-11-23 14:52:00
16440.0,5,3640.67,2011-12-02 12:02:00
13381.0,6,3639.31,2011-11-08 11:58:00
17230.0,8,3638.41,2011-03-20 16:12:00
17528.0,8,3628.5,2011-12-08 13:27:00
13327.0,8,3627.77,2011-11-01 10:21:00
13520.0,6,3624.35,2011-10-12 10:20:00
13082.0,9,3613.63,2011-08-05 16:16:00
18079.0,4,3613.15,2011-10-25 15:27:00
16712.0,11,3611.31,2011-11-30 13:48:00
15505.0,5,3610.96,2011-10-18 07:56:00
13137.0,8,3603.29,2011-11-29 12:09:00
14543.0,16,3599.73,2011-11-11 12:45:00
15484.0,4,3590.41,2011-12-08 15:03:00
14132.0,11,3586.0299999999997,2011-12-07 13:35:00
16242.0,7,3579.86,2011-12-01 15:12:00
17576.0,19,3564.83,2011-12-01 17:56:00
14040.0,12,3560.32,2011-10-30 12:42:00
17203.0,6,3560.08,2011-11-04 12:27:00
17491.0,10,3558.87,2011-12-08 16:18:00
15544.0,9,3546.71,2011-11-30 16:43:00
14503.0,6,3543.26,2011-12-06 13:30:00
12370.0,4,3541.94,2011-10-19 14:51:00
13448.0,6,3534.69,2011-11-23 12:33:00
12454.0,1,3528.34,2011-10-14 17:13:00
17160.0,6,3518.03,2011-11-08 14:05:00
13953.0,7,3515.68,2011-12-02 16:04:00
15113.0,3,3509.43,2011-11-30 08:23:00
16131.0,6,3506.54,2011-10-19 11:53:00
13334.0,3,3502.32,2011-09-18 15:21:00
14907.0,7,3501.1,2011-12-06 14:14:00
16458.0,18,3482.7400000000002,2011-12-07 09:34:00
14395.0,9,3479.91,2011-12-07 14:34:00
13993.0,9,3466.36,2011-10-28 09:06:00
13014.0,10,3466.2799999999997,2011-11-29 12:27:00
15410.0,8,3450.84,2011-09-16 14:47:00
16360.0,6,3450.41,2011-12-05 12:16:00
15129.0,11,3447.4,2011-10-20 14:40:00
13536.0,7,3444.39,2011-12-08 16:38:00
15974.0,7,3442.15,2011-10-31 13:13:00
17725.0,11,3439.08,2011-11-23 16:34:00
15676.0,3,3435.76,2011-11-21 12:40:00
14221.0,9,3432.8,2011-10-28 13:42:00
12406.0,2,3415.3,2011-11-17 19:22:00
15981.0,8,3408.48,2011-11-15 08:00:00
17758.0,8,3408.2000000000003,2011-11-20 14:45:00
13437.0,7,3408.06,2011-11-25 14:00:00
17669.0,7,3406.7200000000003,2011-10-28 08:53:00
13198.0,6,3401.2400000000002,2011-11-29 15:17:00
15228.0,4,3386.71,2011-10-04 13:56:00
13842.0,9,3385.62,2011-10-12 10:51:00
16011.0,16,3352.96,2011-12-01 16:31:00
14227.0,10,3350.96,2011-11-13 15:48:00
16818.0,11,3349.57,2011-11-29 10:41:00
16607.0,14,3347.71,2011-11-22 10:24:00
17183.0,6,3347.31,2011-12-02 10:07:00
12643.0,6,3344.64,2011-08-03 12:56:00
12613.0,5,3344.38,2011-10-13 14:59:00
13015.0,5,3339.64,2011-10-17 13:19:00
12594.0,10,3338.2200000000003,2011-11-02 12:20:00
16556.0,7,3313.79,2011-10-04 11:36:00
13373.0,3,3312.25,2011-10-10 10:51:00
14841.0,6,3295.76,2011-10-17 15:03:00
15632.0,8,3285.31,2011-11-24 09:51:00
12480.0,4,3281.63,2011-11-11 14:52:00
15764.0,6,3279.97,2011-09-12 17:58:00
17723.0,6,3276.4000000000005,2011-08-04 18:37:00
14702.0,17,3251.79,2011-12-08 19:29:00
13952.0,2,3251.071,2011-05-06 09:00:00
13047.0,10,3237.54,2011-11-08 12:06:00
15708.0,7,3235.25,2011-10-30 10:54:00
14175.0,3,3222.3,2011-10-11 11:55:00
13880.0,13,3219.77,2011-11-18 13:44:00
15443.0,7,3213.59,2011-12-08 10:40:00
14388.0,8,3212.84,2011-11-29 13:32:00
16107.0,7,3204.1600000000003,2011-11-22 09:40:00
13868.0,2,3192.54,2011-12-02 16:32:00
13758.0,7,3190.55,2011-11-28 11:11:00
14844.0,4,3189.81,2011-10-07 10:41:00
17220.0,14,3187.55,2011-11-15 13:47:00
17050.0,6,3185.64,2011-09-04 13:48:00
12456.0,3,3181.04,2011-10-26 14:41:00
17672.0,2,3178.17,2011-10-20 14:18:00
13268.0,11,3174.75,2011-11-22 11:51:00
16837.0,11,3170.98,2011-11-08 14:27:00
16041.0,3,3166.4,2011-11-09 12:25:00
17863.0,6,3160.0,2011-10-11 13:45:00
15065.0,4,3158.13,2011-11-02 09:45:00
17685.0,7,3155.83,2011-11-23 11:36:00
15861.0,8,3146.92,2011-11-27 15:59:00
14235.0,5,3144.86,2011-09-25 14:37:00
17231.0,10,3124.72,2011-11-27 15:18:00
13685.0,7,3119.44,2011-12-07 11:41:00
16678.0,12,3109.99,2011-12-07 12:17:00
13742.0,12,3107.87,2011-11-23 11:07:00
14099.0,11,3104.17,2011-11-23 13:53:00
15491.0,6,3100.09,2011-09-05 15:56:00
14257.0,5,3099.7200000000003,2011-10-06 16:54:00
14565.0,4,3099.12,2011-09-05 09:07:00
13135.0,1,3096.0,2011-05-27 10:52:00
16156.0,9,3092.04,2011-12-01 12:42:00
13362.0,4,3090.7400000000002,2011-11-30 14:41:00
16218.0,7,3084.68,2011-11-10 09:59:00
13869.0,4,3083.65,2011-08-08 13:53:00
17059.0,5,3080.39,2011-11-10 12:27:00
15998.0,5,3080.22,2011-11-03 12:45:00
18272.0,6,3078.58,2011-12-07 12:43:00
12910.0,8,3075.04,2011-11-16 14:28:00
13631.0,11,3070.42,2011-09-01 09:57:00
16940.0,3,3049.88,2011-10-18 13:15:00
16393.0,13,3040.96,2011-12-07 12:51:00
16326.0,14,3039.2200000000003,2011-12-04 10:11:00
17799.0,10,3039.17,2011-11-17 15:16:00
16905.0,7,3037.6,2011-12-04 14:01:00
16709.0,5,3029.87,2011-09-16 10:56:00
12598.0,8,3023.08,2011-11-30 12:18:00
12395.0,12,3018.63,2011-11-20 15:21:00
18094.0,7,3017.3,2011-09-19 09:28:00
14456.0,9,3017.28,2011-12-04 13:59:00
